section;entree;nature;sous_entree;traduction_ewe
A;;;contre q.;wô de ame ta, gbo de ame ta.
A;abrégé;m;;nyakpui, nyametsiatsia, kpuiwowo.
A;abréger;vt;;wo nu kpuie, gbo nu kpuie.
A;abreuver;vt;;na tsi, de tsi nu.
A;abreuvoir;m;;tsinoîe, lâwo fe tsileîe.
A;abréviation;f;;kpui gbogbo, nutsotsosuso, kpui- wowo.
A;abri;m;;sietsoîe, tamehenu, agbado. chercher  un-    dzi  tsietsoîe,  dzi  nofe,  si  ame  tso. trouver  un-   kpo  sietsofe,  kpo  dzigbodeanyife.
A;abricot;m;;kutsetse ade.
A;abrogation;f;;nugùgù, nuidededa, setutu.
A;abroger;vt;;de nu da, de asi ie nu nu.
A;;;une loi;tu sé, wu se, gbïdi se. abrupt  .  a    tro  abu,  di  abu,  dzo  we, abruti    a   vlo,  tsibome,  hôvi.
A;abruti;m;;bometsila, lato, movito, hôvi.
A;abrutir;vt;;wo wôazu là, do movuito ame.
A;abrutissement;m;;hôvidzodzo, lâdzodzo.
A;abscission;f;;tsotso. absence   î  anyimanomano.
A;;;(manque);hïahïa, ziaziâ.
A;;;d'esprit;tamemanoaîideka, tamebubu^ tamedzra^ abs  —  aca absent    a     manoanyi,  nusi  meli  o. être-    meli  o,  le  afi  bubu,  le  adzoge,  yi  nugbe.
A;s'absenter;v;;dzo yi afiade.
A;absinthe;f;;aha ade. absolu    a    blibo,  dokuisinoto.
A;absolument;adv;;kokoko, godogodo. absolution    î    nuvôwotsotsoke,  nutsotsoke. donner  F-  à  q.    tso  nuvô  ke  ame. refuser  Y-  à  q.    gbe  nuvôtsotsoke  ame.
A;absorber;vt;;mi nu, no nu, du nu, nyi nu),
A;absoudre;vt;;tso afia, tso nu ke.
A;;;q.;tso afia na ame.
A;;;q. de ses péchés;tso nuvôwo ke ame. s'abstenir   si  nu,  kli  nu,  tsri  nu  .
A;;;de qc.;de amedokui da le nu gbo.
A;;;de viande;do là nu, nyi wulâ dudu ko.
A;;;de manger;do nù, do la dzï, nyi nududu ko.
A;abstème,;n;;vêmanola, donù.
A;abstension;f;;asidede le nu nu, nugbegbe.
A;absterger;vt;;klo nu, klo abi, tutu nu, fo abi.
A;abstersion;f;;koklo, siasia, nututu, abi koklo, abi- fofo.
A;abstinence;f;;nù dodo, nudzidodo, nutsitsri. faire    do  nù,  tsi  nù  do,  nyi  v^ulâ  ko,  wo  de  lâ- madu  zâ  dzi. jour  d'abstinence    lâmâduzâ,  nutsitsidonkeke.
A;;;de;vin ahadzidodo.
A;abstraction;f;;dededa, dedePeme.
A;abstraire;vt;;de nu le nu me, de nu di (da).
A;;;son esprit de;de susu da le nu gbô. abstrait    a  sesê. absurde    a    yaka,  dzodzro,  bolo,  dikokui.
A;absurdhé;f;;bometsinu, yakanu.
A;abus;m;;dowowo vô le nu nu, riutidowowo bada. faire  -de  qc.    wo  nu  nuti  do  bada.
A;abuser;vt;;ble ame. vi       wo  nu  nuti  do  nyamânyamâ.
A;;;de q.;gblê ame.
A;s'abuser;v;;ble amedokui. abusif    a  bebletoe.
A;acacia;m;;akuiko, huhoe, akukoti. aca  —  acc académie    î  sukugâ.
A;acajou;m;;odum, loko, lokoyie. acariâtre    a  dzrewola. acariatreté    î    dzrehehe,  dzrelolô.
A;accablement;m;;dedi, — dzideleamefo.
A;accabler;vt;;te ame de anyi, zi ame dzi, lo nu kg de  ame  dzi.
A;;;q. d'injures;dzu ame, kpli dzu n'ame.
A;;;q. de louanges;kafu ame gede, lo kaîukafu tsyo ame. être  accablé  de  travail    do  kle  de  ame,  do  sogbo wu  ame. être  -de  sommeil   alô  tsg  ame,  alô  mû  ame.
A;accalmie;f;;yalele. accéder    vi    de  afiade,  do  ha  me.
A;;;aux désirs de q.;lô de nya dzi na ame.
A;accélérer;vt;;wg kaba, wâ de nu nu.
A;accent;m;;kakâdedzi, gbggblo kple mise. il  a  un  bel-    eîe  ade  ko,  eîe  ^nuîo  me  kona. accentuation    î    nuyoyo  de  nu  dzi.
A;accentuer;vt;;te gbe de nya dzi. acceptable    a    lolô,  vivi. acceptation    î  hoho.
A;accepter;vt;;ho nu, lô de nu dzi.
A;;;une succession;lô de domenyinu hoho dzi.
A;;;le marché;tso gbe le nuîefle nu. acception   î   hoho,  rikulele  de  nu  nuti. faire  -de  q.   wo  nu  de  ame  îe  lolônu  dzi,  srô  ame dâ. faire  -de  personnes    kpo  ame  fe  nkume.
A;accès;m;;gegedeme, amegboyiyi, toîe, monu.
A;;;de maladie;do dze ame dzi. avoir  -chez  q.    kpo  mo  yi  ame  gbo  fâ. accessible    a    si  woatenu  atso. accessoire   a  kpedenu. accessoires    mpl.  nutinuwo.
A;accident;m;;dzggbevôe, nyavôe, aklamâ, nudzodzo. avoir  un-    dzogbevôe  dze  ame  dzi. par  accident    aklamâ  wo  fe  didi. accidenté    a    glodzo,  klitsa,  dzakadzaka. accidentel    a   nusi  mêle  vevie  o. acc  —  acc
A;acclamation;f;;kafukafu, asikpefofo, aseyiisotso.
A;acclamer;vt;;tso aseyi (de ame nu).
A;s'acclimater;v;;anyigba fe ya ho ame.
A;accolade;f;;asikpakplako. donner  1'  -à  q.    kpla  asi  ko  na  ame.
A;accoler;vt;;kpla asi ko na ame kpe  nu,  tsia  nu,  bla  nu  îoîu,  miâ  nu., accommodant   a   vivi,  dowu. accommodation    î    soso  de  nu  nu.
A;accommodement;m;;gbedodo anyi, dodo,
A;accommoder;vt;;so nu, so nu de nu nu.
A;;;q. de qc.;de asi le nu na ame.
A;;;des personnes;lé avu amewo, do nu na amewo. cela  ne  l'accommode  pas  :   eya  medze  enu  o.
A;s'accommoder;v;;ho. s'-  avec  q.    do  nu  do  kple  ame.
A;accompagnement;m;;amedododa, kpokplodo.
A;accompagner;vt;;kplo ame do, kplo ame yi, kpe ame.
A;;;q. à la maison;kplo ame va aïe. accompli    a    blibo  ;  —  evo  ;  —  klalo.
A;accomplir;vt;;wu nu nu ; — wo nu blibo, wo de  nu  dzi.
A;;;la volonté de Dieu;wo de Mawu îe lolônu dzi.
A;;;sa promesse;wo de nugbedodo dzi.
A;s'accomplir;v;;va veme, dzo, su. le  temps  est  accompli  :    azâ  do  (vo),  geyigi  do, azâ  su.
A;accomplissement;m;;dziwowo, emevava.
A;accord;m;;soso, nyadzilolô, dekawowo, dekadidi. d'un  commun-    kple  gbe  deka. demeurer  d'-    lô  de  nu  dzi. mettre  d'-    so  nu  kple  nu  bubu,  so  ame  kple ame  bubu. tomber  d'-    wo  deka,  amewo  fe  nu  so,  do  gbe anyi. faux-    didi  masogbe,  adawla.
A;;;conclure un-;de asi agbalê me de nu dzi. je  suis  d'-    melô  etso  ke,  melô  de  dzi.
A;accordéon;m;;blaîosanku.
