section;entree;nature;sous_entree;traduction_ewe
A;;;de q.;gblê ame
A;s'abuser;v;;ble amedokui
A;acacia;m;;akuiko, huhoe, akukoti
A;acajou;m;;odum, loko, lokoyie
A;accablement;m;;dedi, — dzideleamefo
A;accabler;vt;;te ame de anyi, zi ame dzi, lo nu kg de ame dzi
A;;;q. d'injures;dzu ame, kpli dzu n'ame
A;;;q. de louanges;kafu ame gede, lo kaîukafu tsyo ame
A;accalmie;f;;yalele
A;;;aux désirs de q.;lô de nya dzi na ame
A;accélérer;vt;;wg kaba, wâ de nu nu
A;accent;m;;kakâdedzi, gbggblo kple mise
A;accentuer;vt;;te gbe de nya dzi
A;accepter;vt;;ho nu, lô de nu dzi
A;;;une succession;lô de domenyinu hoho dzi
A;;;le marché;tso gbe le nuîefle nu
A;accès;m;;gegedeme, amegboyiyi, toîe, monu
A;;;de maladie;do dze ame dzi
A;accident;m;;dzggbevôe, nyavôe, aklamâ, nudzodzo
A;acclamation;f;;kafukafu, asikpefofo, aseyiisotso
A;acclamer;vt;;tso aseyi (de ame nu)
A;s'acclimater;v;;anyigba fe ya ho ame
A;accolade;f;;asikpakplako
A;accoler;vt;;kpla asi ko na ame kpe nu, tsia nu, bla nu îoîu, miâ nu., accommodant a vivi, dowu
A;accommodement;m;;gbedodo anyi, dodo
A;accommoder;vt;;so nu, so nu de nu nu
A;;;q. de qc.;de asi le nu na ame
A;;;des personnes;lé avu amewo, do nu na amewo
A;s'accommoder;v;;ho
A;accompagnement;m;;amedododa, kpokplodo
A;accompagner;vt;;kplo ame do, kplo ame yi, kpe ame
A;;;q. à la maison;kplo ame va aïe
A;accomplir;vt;;wu nu nu
A;;;la volonté de Dieu;wo de Mawu îe lolônu dzi
A;;;sa promesse;wo de nugbedodo dzi
A;s'accomplir;v;;va veme, dzo, su
A;accomplissement;m;;dziwowo, emevava
A;accord;m;;soso, nyadzilolô, dekawowo, dekadidi
A;;;conclure un-;de asi agbalê me de nu dzi
A;accordéon;m;;blaîosanku
A;accorder;vt;;so nu kple nu bubu, dzo nu, so nu kpo
A;;;(concéder);lô de nu dzi
A;;;un différend :;lé avu
A;;;(donner);tso nu m arme, na nu ame
A;s'accorder;v;;wg deka kple ame, zg kple ame, no nya deka dzi kple ame
A;accoster;vt;;te de ame nu (be yea îo nu kplee)
A;;;(navire);vvu dze, wu di go (de afiade)
A;accouchée;f;;vidzila, vidzisino
A;accouchement;m;;vidzidzi
A;;;(aide);vihéhé
A;;;précoce;vi dodroe, fugege
A;accoucher;vt;;dzi vi
A;;;avant le terme;dro vi
A;accoucheur;m;;vihela
A;s'accouder;v;;tso aboklugui tu nu dzi
A;accoupler;vt;;bla nu, kpe nu
A;;;vers q.;fu du yi ame gbo
A;;;au secours de q.;nyâ aîa na ame
A;accoutrer;v;;da atsyô, do atsyô
A;accoutrement;m;;atsyôdodo
A;s'accoutumer;v;;mâ
A;s'accréditer;v;;ho nko, de du
A;accroc;m;;dzèdzè, dodro, mohenu, kufhee
A;accrocher;vt;;ku nu de nu nu, te de nu nu
A;accroissement;m;;takeke de dzi, lolo dé dzi, tsitsi
A;accroître;vt;;dzi nu de dzi, wo nu woasogbo de dzi
A;s'accroupir;v;;tsyo klo me, no akpukpo dzi
A;accueil;m;;hoho
A;;;q.;à bras ouverts ho ame atu, ho ame alo Vee
A;;;des animaux;ha lâwo
A;accumulateur;m;;îuîonu le machine me
A;accumulation;f;;îuîoîo, tutudo
A;accumuler;vt;;îo nu îu, tù nu do, li kg nu
A;accusateur;m;;amenutsola, samala
